Fecha,ID Region,ID Producto,ID Indicador,Num,Den
2024-01-01,1,1,1,23,105
2024-01-01,1,1,2,87,95
2024-01-01,1,1,3,15314,142
2024-01-01,1,2,1,43,97
2024-01-01,1,2,2,96,96
2024-01-01,1,2,3,27349,102
2024-01-01,1,3,1,21,101
2024-01-01,1,3,2,75,95
2024-01-01,1,3,3,15623,135
2024-01-01,1,4,1,39,103
2024-01-01,1,4,2,95,95
2024-01-01,1,4,3,29295,130
2024-01-01,1,5,1,33,103
2024-01-01,1,5,2,98,98
2024-01-01,1,5,3,17115,230
2024-01-01,1,6,1,44,95
2024-01-01,1,6,2,97,97
2024-01-01,1,6,3,17105,167
2024-01-01,2,1,1,26,97
2024-01-01,2,1,2,76,100
2024-01-01,2,1,3,20449,103
2024-01-01,2,2,1,31,96
2024-01-01,2,2,2,100,100
2024-01-01,2,2,3,9423,147
2024-01-01,2,3,1,37,102
2024-01-01,2,3,2,94,96
2024-01-01,2,3,3,26089,100
2024-01-01,2,4,1,40,99
2024-01-01,2,4,2,93,104
2024-01-01,2,4,3,14300,227
2024-01-01,2,5,1,21,96
2024-01-01,2,5,2,84,105
2024-01-01,2,5,3,10614,154
2024-01-01,2,6,1,23,98
2024-01-01,2,6,2,87,101
2024-01-01,2,6,3,28830,196
2024-01-01,3,1,1,25,100
2024-01-01,3,1,2,92,100
2024-01-01,3,1,3,29960,133
2024-01-01,3,2,1,42,99
2024-01-01,3,2,2,74,105
2024-01-01,3,2,3,28806,235
2024-01-01,3,3,1,37,97
2024-01-01,3,3,2,80,98
2024-01-01,3,3,3,20433,198
2024-01-01,3,4,1,40,99
2024-01-01,3,4,2,84,103
2024-01-01,3,4,3,18626,255
2024-01-01,3,5,1,27,95
2024-01-01,3,5,2,90,95
2024-01-01,3,5,3,16773,182
2024-01-01,3,6,1,26,96
2024-01-01,3,6,2,90,104
2024-01-01,3,6,3,29477,134
2024-01-01,4,1,1,32,102
2024-01-01,4,1,2,99,105
2024-01-01,4,1,3,16679,116
2024-01-01,4,2,1,27,97
2024-01-01,4,2,2,103,103
2024-01-01,4,2,3,27155,147
2024-01-01,4,3,1,38,101
2024-01-01,4,3,2,93,101
2024-01-01,4,3,3,12532,136
2024-01-01,4,4,1,35,103
2024-01-01,4,4,2,73,96
2024-01-01,4,4,3,13008,108
2024-01-01,4,5,1,25,105
2024-01-01,4,5,2,97,105
2024-01-01,4,5,3,10081,232
2024-01-01,4,6,1,32,101
2024-01-01,4,6,2,99,104
2024-01-01,4,6,3,16238,215
2024-02-01,1,1,1,20,103
2024-02-01,1,1,2,77,105
2024-02-01,1,1,3,25595,254
2024-02-01,1,2,1,44,99
2024-02-01,1,2,2,91,105
2024-02-01,1,2,3,17617,108
2024-02-01,1,3,1,25,101
2024-02-01,1,3,2,70,102
2024-02-01,1,3,3,24403,147
2024-02-01,1,4,1,36,97
2024-02-01,1,4,2,96,96
2024-02-01,1,4,3,28937,156
2024-02-01,1,5,1,39,103
2024-02-01,1,5,2,79,98
2024-02-01,1,5,3,13293,175
2024-02-01,1,6,1,44,103
2024-02-01,1,6,2,70,103
2024-02-01,1,6,3,18621,233
2024-02-01,2,1,1,20,102
2024-02-01,2,1,2,93,96
2024-02-01,2,1,3,15846,158
2024-02-01,2,2,1,27,95
2024-02-01,2,2,2,75,104
2024-02-01,2,2,3,23924,101
2024-02-01,2,3,1,44,96
2024-02-01,2,3,2,78,103
2024-02-01,2,3,3,29618,112
2024-02-01,2,4,1,37,102
2024-02-01,2,4,2,86,97
2024-02-01,2,4,3,27876,215
2024-02-01,2,5,1,26,101
2024-02-01,2,5,2,82,103
2024-02-01,2,5,3,21074,159
2024-02-01,2,6,1,40,105
2024-02-01,2,6,2,98,100
2024-02-01,2,6,3,22794,212
2024-02-01,3,1,1,27,96
2024-02-01,3,1,2,74,98
2024-02-01,3,1,3,8689,166
2024-02-01,3,2,1,37,104
2024-02-01,3,2,2,98,98
2024-02-01,3,2,3,8235,136
2024-02-01,3,3,1,42,96
2024-02-01,3,3,2,73,105
2024-02-01,3,3,3,10208,138
2024-02-01,3,4,1,30,95
2024-02-01,3,4,2,96,96
2024-02-01,3,4,3,17125,140
2024-02-01,3,5,1,35,105
2024-02-01,3,5,2,98,98
2024-02-01,3,5,3,26711,113
2024-02-01,3,6,1,35,104
2024-02-01,3,6,2,98,98
2024-02-01,3,6,3,14239,184
2024-02-01,4,1,1,23,96
2024-02-01,4,1,2,97,105
2024-02-01,4,1,3,21879,170
2024-02-01,4,2,1,34,101
2024-02-01,4,2,2,76,95
2024-02-01,4,2,3,21193,95
2024-02-01,4,3,1,45,100
2024-02-01,4,3,2,85,96
2024-02-01,4,3,3,14232,129
