Fecha,ID Sede,ID Servicio,ID Indicador,Num,Den
2024-01-01,1,1,1,18,26
2024-01-01,1,1,2,87,98
2024-01-01,1,1,3,155,54
2024-01-01,1,1,4,66,98
2024-01-01,1,1,5,2,109
2024-01-01,1,2,1,18,31
2024-01-01,1,2,2,82,90
2024-01-01,1,2,3,179,53
2024-01-01,1,2,4,61,91
2024-01-01,1,2,5,4,111
2024-01-01,1,3,1,21,31
2024-01-01,1,3,2,98,104
2024-01-01,1,3,3,327,57
2024-01-01,1,3,4,70,75
2024-01-01,1,3,5,6,94
2024-01-01,1,4,1,20,29
2024-01-01,1,4,2,90,96
2024-01-01,1,4,3,143,46
2024-01-01,1,4,4,66,87
2024-01-01,1,4,5,6,85
2024-01-01,1,5,1,29,29
2024-01-01,1,5,2,91,91
2024-01-01,1,5,3,151,74
2024-01-01,1,5,4,65,87
2024-01-01,1,5,5,5,110
2024-01-01,1,6,1,27,30
2024-01-01,1,6,2,82,96
2024-01-01,1,6,3,289,42
2024-01-01,1,6,4,78,82
2024-01-01,1,6,5,4,50
2024-01-01,1,7,1,24,26
2024-01-01,1,7,2,94,98
2024-01-01,1,7,3,333,80
2024-01-01,1,7,4,70,86
2024-01-01,1,7,5,6,87
2024-01-01,1,8,1,28,28
2024-01-01,1,8,2,98,98
2024-01-01,1,8,3,275,44
2024-01-01,1,8,4,70,95
2024-01-01,1,8,5,12,108
2024-01-01,2,1,1,20,28
2024-01-01,2,1,2,92,104
2024-01-01,2,1,3,356,57
2024-01-01,2,1,4,95,95
2024-01-01,2,1,5,11,68
2024-01-01,2,2,1,30,30
2024-01-01,2,2,2,87,91
2024-01-01,2,2,3,326,42
2024-01-01,2,2,4,85,85
2024-01-01,2,2,5,2,74
2024-01-01,2,3,1,27,28
2024-01-01,2,3,2,86,100
2024-01-01,2,3,3,247,81
2024-01-01,2,3,4,87,87
2024-01-01,2,3,5,5,58
2024-01-01,2,4,1,21,27
2024-01-01,2,4,2,97,107
2024-01-01,2,4,3,311,56
2024-01-01,2,4,4,87,93
2024-01-01,2,4,5,7,114
2024-01-01,2,5,1,21,30
2024-01-01,2,5,2,94,94
2024-01-01,2,5,3,143,71
2024-01-01,2,5,4,63,99
2024-01-01,2,5,5,3,54
2024-01-01,2,6,1,27,27
2024-01-01,2,6,2,99,103
2024-01-01,2,6,3,218,44
2024-01-01,2,6,4,87,87
2024-01-01,2,6,5,5,107
2024-01-01,2,7,1,25,25
2024-01-01,2,7,2,93,93
2024-01-01,2,7,3,188,88
2024-01-01,2,7,4,81,99
2024-01-01,2,7,5,5,54
2024-01-01,2,8,1,20,31
2024-01-01,2,8,2,80,104
2024-01-01,2,8,3,344,86
2024-01-01,2,8,4,76,98
2024-01-01,2,8,5,3,104
2024-01-01,3,1,1,26,26
2024-01-01,3,1,2,99,99
2024-01-01,3,1,3,275,72
2024-01-01,3,1,4,69,81
2024-01-01,3,1,5,3,87
2024-01-01,3,2,1,25,25
2024-01-01,3,2,2,95,100
2024-01-01,3,2,3,148,41
2024-01-01,3,2,4,79,86
2024-01-01,3,2,5,1,70
2024-01-01,3,3,1,27,28
2024-01-01,3,3,2,82,92
2024-01-01,3,3,3,244,86
2024-01-01,3,3,4,77,77
2024-01-01,3,3,5,3,56
2024-01-01,3,4,1,26,32
2024-01-01,3,4,2,88,95
2024-01-01,3,4,3,343,73
2024-01-01,3,4,4,87,94
2024-01-01,3,4,5,9,67
2024-01-01,3,5,1,28,28
2024-01-01,3,5,2,92,99
2024-01-01,3,5,3,286,82
2024-01-01,3,5,4,86,86
2024-01-01,3,5,5,8,106
2024-01-01,3,6,1,21,26
2024-01-01,3,6,2,82,97
2024-01-01,3,6,3,125,61
2024-01-01,3,6,4,93,93
2024-01-01,3,6,5,10,69
2024-01-01,3,7,1,18,28
2024-01-01,3,7,2,92,92
2024-01-01,3,7,3,178,43
2024-01-01,3,7,4,62,77
2024-01-01,3,7,5,2,82
2024-01-01,3,8,1,22,28
2024-01-01,3,8,2,86,105
2024-01-01,3,8,3,153,74
2024-01-01,3,8,4,90,98
2024-01-01,3,8,5,8,71
2024-01-01,4,1,1,21,31
2024-01-01,4,1,2,83,93
